county,fips,date,type,pct_diff
Alameda County,06001,2020-06-10,transit,-61
Alameda County,06001,2020-06-10,workplaces,-53
Alameda County,06001,2020-06-10,residential,22
Alameda County,06001,2020-06-11,retail,-47
Alameda County,06001,2020-06-11,grocery,-14
Alameda County,06001,2020-06-11,parks,37
Alameda County,06001,2020-06-11,transit,-62
Alameda County,06001,2020-06-11,workplaces,-54
Alameda County,06001,2020-06-11,residential,23
Alameda County,06001,2020-06-12,retail,-49
Alameda County,06001,2020-06-12,grocery,-15
Alameda County,06001,2020-06-12,parks,20
Alameda County,06001,2020-06-12,transit,-60
Alameda County,06001,2020-06-12,workplaces,-50
Alameda County,06001,2020-06-12,residential,22
Alameda County,06001,2020-06-13,retail,-52
Alameda County,06001,2020-06-13,grocery,-14
Alameda County,06001,2020-06-13,parks,33
Alameda County,06001,2020-06-13,transit,-49
Alameda County,06001,2020-06-13,workplaces,-16
Alameda County,06001,2020-06-13,residential,10
Alameda County,06001,2020-06-14,retail,-52
Alameda County,06001,2020-06-14,grocery,-20
Alameda County,06001,2020-06-14,parks,43
Alameda County,06001,2020-06-14,transit,-48
Alameda County,06001,2020-06-14,workplaces,-18
Alameda County,06001,2020-06-14,residential,9
Alameda County,06001,2020-06-15,retail,-46
Alameda County,06001,2020-06-15,grocery,-20
Alameda County,06001,2020-06-15,parks,23
Alameda County,06001,2020-06-15,transit,-60
Alameda County,06001,2020-06-15,workplaces,-52
Alameda County,06001,2020-06-15,residential,21
Alameda County,06001,2020-06-16,retail,-46
Alameda County,06001,2020-06-16,grocery,-14
Alameda County,06001,2020-06-16,parks,44
Alameda County,06001,2020-06-16,transit,-60
Alameda County,06001,2020-06-16,workplaces,-53
Alameda County,06001,2020-06-16,residential,21
Alameda County,06001,2020-06-17,retail,-46
Alameda County,06001,2020-06-17,grocery,-15
Alameda County,06001,2020-06-17,parks,40
Alameda County,06001,2020-06-17,transit,-61
Alameda County,06001,2020-06-17,workplaces,-53
Alameda County,06001,2020-06-17,residential,21
Alameda County,06001,2020-06-18,retail,-44
Alameda County,06001,2020-06-18,grocery,-12
Alameda County,06001,2020-06-18,parks,39
Alameda County,06001,2020-06-18,transit,-61
Alameda County,06001,2020-06-18,workplaces,-54
Alameda County,06001,2020-06-18,residential,21
Alameda County,06001,2020-06-19,retail,-45
Alameda County,06001,2020-06-19,grocery,-10
Alameda County,06001,2020-06-19,parks,56
Alameda County,06001,2020-06-19,transit,-57
Alameda County,06001,2020-06-19,workplaces,-50
Alameda County,06001,2020-06-19,residential,19
Alameda County,06001,2020-06-20,retail,-50
Alameda County,06001,2020-06-20,grocery,-10
Alameda County,06001,2020-06-20,parks,32
Alameda County,06001,2020-06-20,transit,-49
Alameda County,06001,2020-06-20,workplaces,-14
Alameda County,06001,2020-06-20,residential,9
Alameda County,06001,2020-06-21,retail,-50
Alameda County,06001,2020-06-21,grocery,-15
